comment,score,en
คุณหมอที่แผนกอายุรกรรมเป็นกันเอง วินิจฉัยถูกโรครวดเร็ว หมออธิบายละเอียดมาก พนักงานน่ารักดูแลดีแจ้งให้ทราบส่าเป็นคิวที่เท่าไหรคอยแจ้งคนไข้เสมอ รอไม่ค่อยนานเท่าไรแต่ถ้ามาช่วงเย็นคนไข้ก็จะเยอะหมอก็มีน้อยไปหน่อยคะ โดยรวมๆแล้วโอเครคะ สะดวกรวดเร็วดีคะเหมาะกับคนที่ไม่ค่อยอยากรอนานสักเท่าไหร่คะ แต่ติดตรงถ้ามีแลปจะรอผลแลปนานไปคะ,4,"The doctor at the Internal Medicine Department is friendly. Rapid diagnosis The doctor explained very thoroughly. The staff are lovely, take good care, inform the queue as always. Not long to wait, but if coming in the evening the patient will be a lot, the doctor is a little too little. Overall, it's ok. Convenient, fast, good for those who don't really want to wait for a long time. But stick directly, if there is a lab, will wait for the lab for too long"
เคยไปรักษาตัวอยู่ที่แผนกจิตรักษ์ แผนกดูแลเรื่องอาการทางจิตของผู้ป่วย พยาบาลทุกคนเข้าใจเนเจอร์ของโรคแต่ละโรคมาก ไม่มีการซ้ำเติม ทุกคนมายเซตดี สัมผัสได้ รักษาตัวแบบแอดมิดอยู่2สัปดาห์ พยาบาลมีการถามตลอด ว่ารู้สึกเป็นยังไง หรือถ้าเห็นเราอาการไม่ดีก็จะมาชวนคุย พยายามช่วยผ่อนคลายเรา ตอนกลางวันจะมีคลาสทำกิจกรรมต่างๆ เป็นกรุ๊ปคลาส มีโยคะ ทำอาหาร คลาสพูดคุยกับนักจิต และอีกหลายอย่าง สำหรับใครที่เครียดๆกังวลใจ ลองไปปรึกษานักจิตวิทยาก่อนได้ หากต้องรักษาด้วยยา จะมีจิตแพทย์ ตรวจและให้ยาแยกต่างหาก /รักนักจิตมาก,5,"Used to heal himself at the Conservation Department Patient's Department of Mental Illness Every nurse understands the nature of each disease very much. No aggravation Everyone, Set Dee, touched and has been treated for a week in the midweek. Nurses are asked all the time. How you feel Or if seeing us in a bad condition, then come to talk Try to help relax us. During the day there will be classes for activities. Is a yoga class group, cooking class, talking to a psychologist And many more For those who are stressed and worried Try to consult a psychologist first. If requiring medication, psychiatrists will examine and provide medication separately. / Love the mind very much"
บริการดีมาก รวดเร็ว พาแขกคนจีนไปก็มีล่ามจีนแปลให้ดีมาก เลิศ มาก,3,"Service is very good, fast, take Chinese guests to go, have Chinese interpreter, translate very well, excellent"
มีการบริการดี คุณหมอมีความรู้ความสามารถมาก และพรักงานทุกคนยิ้มแย้มเป็นกันเอง เป็นการบริการที่มีคุณภาพครับ,4,"With good service The doctor is very knowledgeable. And love everyone, smiling friendly Is a quality service"
บริการดีมากชัดเจนดีพยาบาลก็พูดดีบุคลากรพูดดีหมดรวมๆดีถึงแม้ค่ารักษาจะแพงแต่ทุกอย่างโอเคหมดไม่ว่าจะเป็นเรื่องห้องพักห้องน้ำสะอาดรักษาเห็นผล,5,"The service is very good, clear, good, the nurses speak well, the staff speaks well, all inclusive, although the treatment fee is expensive, but everything is ok, whether the room, bathroom, clean, see results."
ได้ทำการฝากครรภ์กับร.พ.กรุงเทพ ตั้งแต่ครรภ์แรก ตอนนี้ครรภ์ที่2แล้ว หมอและพยาบาล ให้การรักษาดูแลที่ละเอียดมาก ตอนครรภ์แรกได้ทำการขลิบอวัยวะเพศของลูกชาย คุณหมอผ่าแผลสวยมาก และวันที่คุณหมอนัดเพื่อไปดูแผลผ่า ขณะนั้นนมคัดมากแต่น้ำนมยังไม่ไหล คุณหมอช่วยดูและสอนวิธีนวดเปิดท่อน้ำนม ช่วยให้สามารถให้นมลูกได้ถึงตอนนี้,5,"Has antenatal clinic with Bangkok Hospital Since first pregnancy Now that the 2nd pregnancy, doctors and nurses provide very detailed care. At first pregnancy, the son's genitals were circumcised. The doctor dissected the wound, very beautiful. And the day the doctor made an appointment to see the wound At that time the milk was very selective but the milk was not flowing. The doctor helped to watch and teach how to massage open milk ducts. Helps to breastfeed until now"
เวลาป่วยชีวิตของเราขึ้นอยู่กับการตัดสินใจของหมอหลายๆครั้งที่เขา รพ. นี้แบบฉุกเฉินหมอก็เวรถ้าไมากล้าตัดสินใจก็จะไม่รีรอที่จะติดต่อกับหมอที่เป็นเจ้าของไข้ที่เรารักษาประจำ,5,"When we get sick, our lives depend on the doctor's decisions. Many times in this hospital, the doctor is on duty. If we don't decide, then we will not hesitate to contact the doctor who owns the fever that we treat regularly."
บริการเป็นมิตร ดุจญาติมิตร,5,Friendly service like relatives
บริการดี รวดเร็ว ยิ้มแย้มแจ่มใส,4,"Good service, fast, cheerful."
เราไปคลอดลูกที่ โรงพยาบาลกรุงเทพ ซอยศูนย์วิจัย 7 ไปนอนได้ก่อน 1 คืน ฟรีค่ะ ดูแลดีมาก ทุกอย่างเหมือนพักอยู่โรงแรม 7 โมงเข้าบล๊อกหลัง 8.20 เราคลอดเสร็จละคะ มาพักต่อที่ห้องพิเศษ เวลาที่อยู่นั่น 3 วัน 2 คืน หมอและพยาบาลดูแลดีมาก ให้คำแนะนำและการช่วยเหลือทุกเรื่องดีค่ะ เราตั้งใจจะให้นมแม่ เขาก็แนะนำการเข้าเต้าได้ดีค่ะ แต่ขอตินิดหนึ่งว่าไม่ควรมาแจกนมผงและสอนวิธีป้อนนมโดยใช้ถ้วย และไม่ควรมายัดเยียดให้อยู่ ร.พ ต่อด้วยเหตุผลว่าเด็กต้องส่องไฟ ทั้งที่ค่าตัวเหลืองเด็กไม่ถึงกับต้องไปส่องไฟ นี่อาจารย์หมอเด็กเลยนะที่มาแนะนำ บางทีก็ควรมีจรรยาบรรณของความเป็นหมอ รู้สึกแย่แค่เรื่องนี้ค่ะ นอกนั้นดีหมด หมอผ่าคลอดเราก็เก่งมาก ผ่าเร็ว แนะนำดูแลดีตลอด ช่วยคุยให้ด้วยกับหมอเด็ก,5,"We give birth to a baby at Bangkok Hospital Soi Soonvijai 7, go to bed 1 night free. Very good care. Everything is like staying at a hotel at 7 o'clock. After blogging at 8.20, we were born. Come to stay in a special room. The time there was 3 days 2 nights. The doctors and nurses were very well looked after. Give advice and help with all matters We intend to breastfeed. He also recommends breast implants well. But please give a few comments that you shouldn't give out milk powder and teach you how to feed using a cup And should not be subjected to the hospital for reasons that children have to shine Despite the yellowing value, the child does not even have to go to light This is a child doctor. Sometimes there should be a morality of being a doctor. Feeling just bad about this. Other than that, the doctor is all good. The surgery is very good. The surgery is very fast. Please talk to the child doctor."
