comment,score,en
เรื่อง ของเรื่องมีอยู่ว่า ไม่มีไข้ แต่โดนกักตัว จ่ายค่าอาหาร ตลอด 14 วัน และแจ้งว่าอาหาร ทานได้ไม่ทุกอย่าง แค่ ขอข้าวเปล่ากะ ไข่ต้ม วันละ 1 ฟอง บอกไม่มีเวลาทำ คุณแม่ครัว ก็ Drama บอกงั้นขอลาออก ฝ่ายโภชนาการบอกต้องกิน ทั้ง ๆที บอกไปแล้วว่าแสลงกับโรคที่เป็นอยู่ ก็ไม่มีใครสนใจ คุณๆ ทั้งหลายบอก ถ้าอยากกินอาหารที่ ไม่แสลงโรค ต้องจ่ายเพิ่ม วันละ เกือบ 500 และต้องจ่าย 14 วัน ไม่ได้มีงานทำ จะหาเงินใหนจ่าย ถามค่ะ ที่จ่ายไปแล้วมากกว่า ครึ่งหมื่น ละ คืออะไร ขอแค่ ข้าวเปล่า และ ไข่ต้ม เท่านั้น ต้นทุนไม่มาก เลย ขอความเห็นใจด้วย เพราะ หลังจาก 14 วันแล้ว ก็ไม่รุ้จะดำเนินชีวิตยังไง เงินเก็บก็จ่ายค่า ข้าว 14 วันไปแล้ว,5,"The matter is that there is no fever but being confined to pay food for 14 days and report that the food Can't eat everything, just ask for rice and boiled eggs, 1 egg a day. I don't have time to cook. The cook says Drama. The nutrition department says that they must eat even though they have already said that they are slang with the current disease. No one is interested. You all say that if wanting to eat non-slang foods, have to pay nearly 500 per day and have to pay 14 days without work. Question: What is the payment of more than half ten thousand? What are you asking for just rice and boiled eggs? The cost is not that high, so please ask for sympathy because after 14 days, I don't know how to live my life. The money was already paid for rice for 14 days."
บริการค่อนข้างดีค่ะ คุณหมอพยาบาลใจดีเป็นกันเอง น่ารักมาก คุณหมอเฉพาะทางเก่งมากวินิจฉัยผลแม่นยำ คอยให้คำปรึกษาแนะนำแนวทางการรักษาเบื้องต้นตลอด โดยที่ทางดิฉันนั้นก็ได้ปฏิบัติตามคำแนะนำของคุณหมแและทานยาควบคู่กับที่คุณหมอได้แจ้ง จนตอนนี้ได้รักษาหายแล้วยาที่กินไประงับอาการอยู่ จากตอนแรกที่คิดว่าแพงแต่กลับไม่แพงอย่างที่คิด ประทับใจในหลายด้านๆ การเดินทางนั้นก็สะดวก จะขับรถมาเองก็มีที่จอดค่ะ คุ้มค่ากับการรักษา,4,"The service is quite good. The doctor was very kind, friendly, and very friendly. The specialist was very good, with accurate diagnosis. Waiting to give advice and recommend basic treatment methods throughout Which I have already followed the advice of Mr and take medicine along with the doctor informed Until now, the medication has been cured. From the first thought that was expensive but not as expensive as thought Impressed in many ways Travel is convenient. If driving by car, there will be parking. Worth the treatment"
ไปรับการตรวจเรื่องเม็ดเลือดในปัสสาวะค่ะ ต้องจองคิวค่อนข้างนาน โทรจองก่อนค่ะ แต่บริการค่อนดีมากค่ะ คุณหมอดูป็นกันเองมาก ประทับใจในด้านบริการ พยาบาลน่ารัก คอยให้คำแนะนำว่าต้องทำยังไง หมอเฉพาะทางที่เก่งมาก ให้คำปรึกษาดีมาก และบอกว่าไม่ต้องเป็นกังวลค่ะ ส่วนเรื่องการเดินทางมาโรงพยาบาลสะดวกมากค่ะ จะนั่งรถไฟฟ้าหรือรถใต้ดินมาก็ได้ ขับรถมาก็มีที่จอดค่ะ,4,"Went to get a blood test in urine Have to reserve the queue for quite a long time Call to reserve But the service is quite good. The fortune teller is very friendly. Impressed by the cute nurse services, giving advice on what to do. Specialized doctors who are very good. Very good consultation And said don't worry As for traveling to the hospital, very convenient. Can ride the electric train or subway When driving, there is parking."
"บริการค่อยข้างดีค่ะ แต่รอคิวนานนิดหน่อย แต่วินิจฉัยผลแม่นยำ เจ็บป่วยไปรพ. จุฬาทีไร หายทุกครั้งค่ะ แถมราคาไม่แพงด้วยค่ะ เหมาะกับเด็กต่างจังหวัดที่เข้ามาอาศัยในกรุงเทพได้มากเลยค่ะ ตอนแรกหนูก็กังวลว่าจะแพง
อาหารที่จำหน่ายก็อนามัยมากค่ะ มีปริมาณและจำนวนแคลอรี่บอกด้วย รสชาติค่อนข้างดีค่ะ ไม่จัดจ้านจนเกินไป แอร์หนาวมาก55555555555",5,"Good service But waiting in a long queue But accurate diagnosis Sick to the hospital Every time Chula disappears Plus the price is not expensive too Suitable for children from other provinces who come to live in Bangkok. At first I was worried that it would be expensive.
The food sold is very sanitary. With the amount and amount of calories said The taste is quite good. Not too bold The air conditioner is very cold hahahahahahaha"
ได้มีอาการอาหารเป็นพิษและเข้าทำการรักษาที่โรงพยาบาบแห่งนี้ ทางคุณหมอแลัพยาบาลดูแลดีมาก พร้อมกับแนะนำการรักษาเบื้องต้น โดยที่ทางผมนั้นได้ปฏิบัติตามคำแนะนำของคุณหมอแบะทานยาควบคู่กับที่คุณหมอได้แจ้งไว้ ใช้เวลาไม่ถึง 2 วัน อาการอาหารเป็นพิษก็หายเป็นปลิดทิ้ง ต้องขอบคุณทางโรงพยาบาลที่ช่วยดูแลมากแบบนี้ครับ,5,"Have food poisoning and go to treatment at this hospital The doctors and nurses are very well taken care of. Along with suggesting basic treatment Which I have followed the advice of the doctor and take the medicine in conjunction with the doctor has informed Less than 2 days, food poisoning symptoms disappeared completely. Thank you to the hospital for looking after this much."
มีบริการดีในระดับนึงเลยครับ เรยไปอยู่หลายครั้ง ประทับใจทุกครั้งครับ พอถึงคิวตรวจ เข้าไปคุยกับคุณหมอ ตอนแรกก็ไม่รู้อาการว่าตัวเองเป็นโรคอะไรเพราะปกติจะมีอาการแบบโรคกระเพาะมักจะนึกว่าตนเองเป็นโรคกระเพาะตลอด พอมาตรวจกับคุณหมอจึงรู้เลยว่าตัวเองเป็นโรคเกี่ยวกับลำไส้ คุณหมอเก่งมากรักษาถูกจุด อาการก็ดีขึ้นเรื่อยๆ,5,"There is a good service in one level. I went to live many times. Impressed every time, when the check-in queue to talk to the doctor. At first I didn't know what symptoms I had, because I usually had symptoms like gastritis. I always thought I had gastritis. After checking with the doctor, I knew that he had intestinal diseases. The doctor is very good. The right treatment is done. Symptoms continued to improve."
สำหรับโรงพยาบาลจุฬาลงกรณ์ บริการดีมากค่ะ ฝากท้องและคลอดที่นี่ รวมถึงการคุมกำเนิด ประทับใจตั้งแต่เริ่มฝากท้อง บุคลากรทุกท่านให้ความใส่ใจคุณแม่ทุกท่านดีมากค่ะ นักศึกษาแพทย์ รวมถึงนางพยาบาล ใจดีมากค่ะ น่ารักทุกคน ถ้ามีคนที่สองฝากที่นี่เหมือนเดิมค่ะ ขอให้ทาง รพ.รักษาภาพลักษณ์ที่ดีตลอดไปเพื่อคนไข้ทุกคน ขอบคุณค่ะ,5,"For King Chulalongkorn Memorial Hospital Very good service Save belly and give birth here. Including birth control Impressed since the beginning of the belly All personnel pay great attention to all mothers. Medical student Including the nurse who is very kind. Lovely everyone. If there is a second person, leave here as before. May the hospital maintain a good image forever for all patients. Thank you."
ตรวจดีๆมากๆนะ คุณหมอให้คะแนำนะวินิจฉัย​ดีมากๆ เพราะตรวจสุขภาพเป็นสิ่งที่จำเป็นและคสรระวัง เพราะบางโรคมักมาโดยไม่รู้ตัว เคยแนะนำให้เพืือนไปตรวจที่โรงพยาบาบนี้เหมือนกะน เพื่อนก็โอเคด้วย เพราะบริการ ดีเ็นระบบ เรียบร้อย เลยอยากมารีวิวเพื่อให้ทุกคนไปใข้บริการและเป็นส่วนนึวของการตัดสินใจในการรักษาและดูแลสุขภาะของตัวเราเอง,5,"Check very well The doctor gave a very good diagnosis. Because a health check is necessary and careful Because some diseases often come without knowing Was advised to go to check this hospital like before Friends are also OK because the service is good, the system is complete, so would like to review for everyone to use the service and is part of the decision to maintain and take care of our own health."
ตรวจดีมากๆค่ะคุณหมอละเอียด พยาบาลก็ดีดูแลคนไข้ดีค่ะใกล้บ้านไปง่ายกลับง่ายสะดวกมากๆเลยค่ะ รับยาก็ไม่นานมากพอรอไหวไปตรวจภายในมา บอกละเอียดหมดเลยค่ะชอบมากอยากไปตรวจทุกปี บอกตั้งแต่หัวจรดเท้าเลย ภายในเราเป็นยังไงบ้างละเอียดมากค่ะอยากให้ทุกคนลองไปใช้บริการโรงพยาบาลจุฬาลงกรณ์ดูนะคะ เพื่อเป็นประโยชน์ของทุกคน ดีมากจริงๆค่ะแนะนำเลย,4,"Very good check. Doctor detailed. The nurses are also good, take good care of patients, close to home, easy to return, very convenient. Receiving the drug was not long enough to wait for the internal examination. All told in detail. I like it. I want to go to check every year. Tell from head to toe How are we inside? Very detailed. I want everyone to try the service at King Chulalongkorn Memorial Hospital. For the benefit of everyone Really good. Recommend"
บิรการดีในระดับนึงเลยครับ เรยไปอยู่หลายครั้ง ประทับใจทุกครั้งครับ พอถึงคิวตรวจ เข้าไปคุยกับคุณหมอ ตอนแรกก็ไม่รู้อาการว่าตัวเองเป็นโรคอะไรเพราะปกติจะมีอาการแบบโรคกระเพาะมักจะนึกว่าตนเองเป็นโรคกระเพาะตลอด พอมาตรวจกับคุณหมอจึงรู้เลยว่าตัวเองเป็นโรคเกี่ยวกับลำไส้ คุณหมอเก่งมากรักษาถูกจุด อาการก็ดีขึ้นเรื่อยๆ,4,"Good service at a certain level I went to live many times. Impressed every time, when the check-in queue to talk to the doctor. At first I didn't know what symptoms I had, because I usually had symptoms like gastritis. I always thought I had gastritis. After checking with the doctor, I knew that he had intestinal diseases. The doctor is very good. The right treatment is done. Symptoms continued to improve."
