comment,score,en
เคยได้ไปลองใช้บริการคลีนิคนอกเวลาของรามาเมื่อต้นปีที่แล้ว ได้เข้ารักษาเลเซอร์บนในหน้า พยสบสลกับคุณหมอใจดีมากๆ เป็นกันเอง ดูแลอย่างทั่วถึง รอคิวไม่นานเลย แต่ต้องโทรไปจองล่วงหน้าก่อนน่ะค่ะ การรักศึกษาของคุณหมอมไ่เจ็บเลยค่ะ ไม่ถึง5นาทีการรักษา ผลลัพที่ออกมารอยใบบนหน้าหายหมดเลยค่ะ ค่ารักรักษาพยนบาลไม่แพงด้วย,5,"Had tried the part-time clinic service at the beginning of last year Had treatment for the upper laser on the face Phsob Sali and the doctor are very kind, friendly and provide thorough care. The waiting line is not long. But have to call to reserve in advance Doctor's love for education didn't hurt. Less than 5 minutes treatment The results that came out, the marks on the face are all gone. Love medical fees are not expensive as well."
ผมเคยไปทำเลสิกที่นี้ ดีมากครับตอนนี้ผ่ามาจะ2ปีแล้วยังไม่มีผลค้างเคียงอะไรและราคาก็ถูกดีด้วย ตอนผ่าอาจจะดูน่ากลัวไปซะหน่อย แต่พอถึงเวลาผ่าจริงๆแล้วไม่รู้สึกเจ็บเลยครับ เพราะมีการหยอดยาชาก่อนผ่า,4,"I've been to Lasik here. Very good. Now, after 2 years, there is no outstanding result and the price is good too. The surgery may seem a bit scary. But when it's time to cut, in truth, it doesn't feel hurt at all Because there is anesthetic drops before surgery"
รักษามาหลายปีแล้วตั้งแต่อายุ14 ตอนนี้จะจบปริญญาตรีแล้ว ตั้งแต่นอนแอดมิดที่ รพ จนหายดีออกมาใช้ชีวิตได้เป็นปกติ โดยเฉพาะคลินิกพรีเมี่ยม ไม่ต้องรอนาน มีความสะดวกรวดเร็วทุกขั้นตอนตั้งแต่จ่ายเงินไปถึงจ่ายยา ค่ารักษาไม่ได้แพงเกินไปเมื่อเทียบเท่ากับเอกชนหลายๆที่ บริการดีมากๆ คุณหมอดูแลเอาใจใส่ดี อยากให้ทุกคนมารักษาที่นี่,5,"Healed many years since age 14 This is a bachelor's degree. From the bedtime infirmary to the normal life Especially, the premium clinic does not have to wait for a long time. It is convenient, fast, every step from payment to dispensing medicine. The cost of treatment is not too expensive when compared to many private places. The service is very good. The doctor takes good care. Would like everyone to come to treat here"
"ที่ตึกพระเทพชั้น 2 สถานที่เครื่องมือดูทันสมัย 
แต่ที่ห้องวัดความดัน มีคนที่วัด(คิดว่าไม่ใช่พยาบาลเพราะใส่ชุดสีม่วง) ชอบดุคนที่มาวัด พูดเสียงแข็งใส่คนที่มาวัดความดัน ทั้งๆที่พยาบาลอีกคนที่ใส่ชุดพยาบาลพูดเพราะ อยากให้ปรับปรุง 

มาหาหมอที่แผนกศัลยกรรม อาจารย์หมอตรวตแล้วบอกต้องผ่าตัด บอกแค่ว่าต้องผ่าตัดถึงจะหายตอนนั้นช็อคเรื่องผ่าตัดอยู่เลยไม่ได้ถามอะไรเลย แล้วหมอกก็ไปเลยไม่ได้บอกว่าจริงๆเป็นอะไร ระยะไหน (ริดสีดวง) แล้วก็นัดวันผ่า พยาบาลที่นัดคิวก็ไม่สนเวลาเราทวนสิ่งที่บอกมาว่าถูกต้องไหม บอกแค่ว่าตามนั้นแหละ สรุปแล้วเหมือนจะดีแต่รอดูช่วงผ่าตัดก่อน",3,"At Phra Thep Building, 2nd floor, the place looks modern
But at the pressure measurement room There are people at the temple (I think it is not a nurse because they wear purple clothes). I like to scold the people who come to the temple. Speaking hardly at the person who measured the pressure Despite another nurse wearing a nursing uniform saying Would like to improve

Come to see the doctor at the surgery department The doctor said that he must have surgery. Just said that he had to undergo surgery before he was shocked at that time and didn't ask anything. And the fog then went on, didn't tell what it really was (Hemorrhoids) and then made an appointment The nurses who arranged the queue didn't care when we repeated what they said was correct. Just say that according to that In summary, it seems like it is good, but wait to see the surgery period first."
"Its a public hospital so service is bad (nurses are completely unfriendly and doctors have god complex plus horrifying bed side manner) but they will keep you alive (nothing to do with quality of life) with decent drug collection. Young doctors are generally very friendly but they are busy all the time due to the amount of patients (like canned tuna) so don't expect them to spend too much time diagnosing you. You have to come early in the morning to ensure you're in queue and the wait 1-2 (bad days) hours behind schedule to get to see the doctor for < 15 min or less (all together door to door 8-9hrs). 

Additionally you can call all the 8 numbers on the websites from normal clinic to Premium and wait 15 minutes on each number just for them to hang up on you or divert you elsewhere then hang up on you.....

Worst are the guys doing the schedule because they are very consistent in demonstrating the inability to manage schedules (or not) because you will ""always"" have to wait 1-2 hours ""after"" your appointment schedule to see the doctor but they also cant tell you that so you cant go anywhere and have to hang around the front door. 

In the better days you will get to sit inside the doctor's room to wait because the doctor is no where to be found and nobody will know when he/she will come back. If you ask the nurse they will give you the ""i dont know and I couldnt care less"" look and turn away in annoyance. 

But yes, they have great ability (the doctors definitely know what they are doing) to use ur tax fund to keep you alive, two stars for that!!

Updated review for ER: The best ER u can probably find in Bangkok as they are 24hrs fully staffed with specialty doctors (not just general doctors like other hospitals during off business hours). They are jammed packed but they are fully equipped and by that I mean they have CT scanner in the ER room - this is not something we find everywhere. Doctors know what they are doing and fully equipped with the tools to keep u alive.

Even better update:

Just decided to go for full blown annual health check at Rama (Feb 2016) and here are the pros and cons:

Cons:
As a foreigner who pays tax in Thailand ur sort of half screwed. They are not equipped to handle foreign language so if u cant google medical terms properly u might go home thinking everything is perfect when its not...A less life threatening case is that if u pay tax to Thailand ur entitled to Thai citizen price 30% less or so which is surprisingly logical BUT not without flaws...u have to bring the ""physical"" ""original"" tax receipt from revenue dept to show then which u DONT get if u file electronically....so....who does NOT file electronically? I dont know one....maybe my parents but they're 75....

Pros:
Omg its a very pleasant surprise that this clinic operates with the speed, manner, and professionalism that you'd expect in that of top 5 high end private hospital. The ambiance, the friendliness, politeness (which usually does not happen in public hospital), and the facility is great. I am very impressed with the speed at which they operate so thats 8.30-12:00 easy. Just like u would get at private hospital. 4th floor Prathep bldg zone Q - they did an exceptional job of scanning our x ray and ultrasound result 2-3 times just to make sure its accurate and they call u of the pending result (in case there is a need for special radiologist to check the films) in less than 4 hours after doctor visit. Overall - hell yeah I will do my Health check here going forward for 1/3 the price i would pay otherwise...:",4,"Its a public hospital so service is bad (nurses are completely unfriendly and doctors have god complex plus horrifying bed side manner) but they will keep you alive (nothing to do with quality of life) with decent drug collection. Young doctors are generally very friendly but they are busy all the time due to the amount of patients (like canned tuna) so don't expect them to spend too much time diagnosing you. You have to come early in the morning to ensure you're in queue and the wait 1-2 (bad days) hours behind schedule to get to see the doctor for <15 min or less (all together door to door 8-9hrs) .

Additionally you can call all the 8 numbers on the websites from normal clinic to Premium and wait 15 minutes on each number just for them to hang up on you or divert you elsewhere then hang up on you .....

Worst are the guys doing the schedule because they are very consistent in demonstrating the inability to manage schedules (or not) because you will ""always"" have to wait 1-2 hours ""after"" your appointment schedule to see the doctor but they also cant tell you that so you cant go anywhere and have to hang around the front door.

In the better days you will get to sit inside the doctor's room to wait because the doctor is no where to be found and nobody will know when he / she will come back. If you ask the nurse they will give you the ""i dont know and I couldnt care less"" look and turn away in annoyance.

But yes, they have great ability (the doctors definitely know what they are doing) to use ur tax fund to keep you alive, two stars for that !!

Updated review for ER: The best ER u can probably find in Bangkok as they are 24hrs fully staffed with specialty doctors (not just general doctors like other hospitals during off business hours). They are jammed packed but they are fully equipped and by that I mean they have CT scanner in the ER room - this is not something we find everywhere. Doctors know what they are doing and fully equipped with the tools to keep u alive.

Even better update:

Just decided to go for full blown annual health check at Rama (Feb 2016) and here are the pros and cons:

Cons:
As a foreigner who pays tax in Thailand ur sort of half screwed. They are not equipped to handle foreign language so if u cant google medical terms properly u might go home thinking everything is perfect when its not ... A less life threatening case is that if u pay tax to Thailand ur entitled to Thai citizen price 30 % less or so which is surprisingly logical BUT not without flaws ... u have to bring the ""physical"" ""original"" tax receipt from revenue dept to show then which u DONT get if u file electronically .... so ... .who does NOT file electronically? I dont know one .... maybe my parents but they're 75 ....

Pros:
Omg its a very pleasant surprise that this clinic operates with the speed, manner, and professionalism that you'd expect in that of top 5 high end private hospital. The ambiance, the friendliness, politeness (which usually does not happen in public hospital), and the facility is great. I am very impressed with the speed at which they operate so thats 8.30-12: 00 easy. Just like u would get at private hospital. 4th floor Prathep bldg zone Q - they did an exceptional job of scanning our x ray and ultrasound result 2-3 times just to make sure its accurate and they call u of the pending result (in case there is a need for special radiologist to check the films) in less than 4 hours after doctor visit. Overall - hell yeah I will do my Health check here going forward for 1/3 the price i would pay otherwise ...:"
เพื่อนของดิฉันเป็นโรคเกี่ยวกับปอด ปอดรั่ว หมอที่นีดูแลและรักษาดีมาก ทำสุดความสามารถ เป็นห่วงและเข้าใจความรู้สึกของคนไข้มากๆเลยค่ะ และได้ผ่าตัดปอดมา 2 ครั้งแล้ว เริ่มเป็นมาตั้งแต่เด็กจนต้องย้ายแผนกมาเป็นแผนกผู้ใหญ่ต้องเปลี่ยนหมอดูแล (หมอเจ้าของไข้) แต่หมอท่านแรกที่รักษาตอนอยู่แผนกเด็กก็ยังมาดูแลเป็นอย่างดีมากๆเลยค่ะ จนกว่าจะหายดีเลยคะ,5,"My friend has a lung disease, lung leak. The doctor here is very good with care and treatment. Do my best Very concerned and understanding the feelings of patients. And underwent lung surgery twice, starting from a young age until having to move the department to an adult department. (Doctor with fever) but the first doctor who treated while in the children department still came to look after very well. Until healed"
วันนั้นไปตรวจเนื่องจากปัญหาการนอนกรน ที่โรงพยาบาลรามาฯ แผนกหูคอจมูกแบบพรีเมียม สถานที่สะอาดกว้างขวางดี บริการดีมาก ไม่ต้องรอนาน อาจาย์หมอเป็นผู้ตรวจเอง พูดจาดีน่ารักจริงๆ และส่งต่อไปห้องตรวจการนอนหลับก็ได้คิวในวันต่อมาเลยทีเดียว อาทิตย์ต่อมาฟังผลและวางแผนการรักษา โดยให้ลดน้ำหนักพร้อมส่งตัวไปนัดที่แผนกโภชนาการ ซึ่งคิวก็ไม่นานมาก รวดเร็วไม่เสียเวลามาก,5,"That day went to check due to snoring problems. At Rama Hospital Premium Ear, Nose and Throat Department The place is clean, spacious, good, the service is very good, don't have to wait for a long time. Speaking well, really cute. And forwarded to the sleep inspection room to queue the next day Next week, listen to the results and plan the treatment. By losing weight and sending to the nutrition department Which the queue wasn't very long Fast, doesn't waste a lot of time"
"แนะนำโรงพยาบาลรามาธิบดี
เคยผ่าตัดส่องกล้องช็อคโกแลตซีสรังไข่และรักษาต่อเนื่องที่นี่ค่ะ คุณหมอและพยาบาลให้บริการดีค่ะ รอคิวยาวหน่อย แต่คุ้มค่าค่ะ ราคาไม่แพงการบริการดี สถานที่สะอาด อาหารอร่อย แต่คนค่อนข้างเยอะ รักษาที่นี่ได้ให้ความรู้กับนักศึกษาแพทย์ เพราะได้แชร์เคสให้กับนักศึกษา เพื่อเป็นความรู้ในการรักษาค่ะ",5,"Recommend Ramathibodi Hospital
Used to undergo laparoscopic chlamydia surgery and continue treatment here The doctors and nurses provide good service. Wait a long queue But worth it Affordable price, good service, clean location, delicious food but quite a lot of people. Keeping here to educate medical students. Because sharing the case with students In order to be knowledgeable about treatment"
พาย่ามารักษาโรคไต โรงพยาบาลให้การต้อนรับดีมาก เเละพูดกับคนไข้ดีมาก เเละมีความสุขทุกครั้งที่ได้ไปรับการรักษาที่นี่ การที่คนเราเป็นโรคไตนั้น มันเกิดมาจากการที่เรานั้นกินเค็มมากเกิน เเละถ้าไม่อยากเป้นโรคไต อย่ากินเค็มมาก เเละลดให้กินอาหารที่พอดีเเละอย่าเติมรสเพิ่มให้มันพอดี ตอนนี้ย่ากินอาหารได้เเต่ย่ากินอาหารที่รสจืดมาก เเละมีบางครั้งอาจจะมีกินรสจัดบ้างเเต่นานๆๆครั้ง อย่าให้คนเเก่อยู่คนเดี่ยวนะเพราะเเกจะกินอาหารรสจัดเเกจะไม่ห่วงสุขภาพตัวเอง,5,"Bring grandma to treat kidney disease The hospital was very welcoming. And spoke with patients very well And happy every time I go to receive treatment here The fact that we have kidney disease. It is caused by the fact that we eat too much salty. And if you don't want to get kidney disease Do not eat very salty And reduce to eat the right food and don't add more flavor to it Now I can eat food, but I eat food that is very tasteless And sometimes there may be some strong flavors, but infrequently Do not let the person stay alone. Eating spicy food will not worry about your health."
รักษาเนื้องอกที่มดลูกที่โรงพยาบาลรามาพรีเมียม เพราะได้รับคำแนะนำจากพี่ที่ทำงายว่าหายได้ค่ะ ไปหาคุณหมอท่านเดียวกันกับที่รักษาพี่เขา คุณหมอใจดีมากค่ะ ถามไถ่ซักอาการอย่างละเอียด การส่องกล้องทันสมัย ไม่เจ็บแต่อย่างใด รอคิวไม่นานมาก โรงพยาบาลสะอาด ใหม่ ทันสมัยด้วยค่ะ อยากให้สาวๆลองตรวจภายในเป็นประจำกันด้วยนะคะ,5,"Treatment of uterine fibroids at Rama Premium Hospital Because he was advised by the elder that made me recover Went to see the same doctor who treated his brother The doctor is very kind. Asked about the symptoms thoroughly Modern endoscopy Does not hurt at all The queue is not very long. The hospital is clean, new and modern too. Would like the girls to check the interior regularly as well"
